"","source","RemoteIP","DateRcvd","submit_time","when_employed","rest","City","State","mos_current","xtra_months","more_mos","asian_prop","black_prop","hispanic_prop","white_prop","breakfast","lunch","dinner","late_night","busy","ppbill","pcttip","big_tips","comparative_tips","flair","intro","selling","squatt","touch","jokes","repeat.","customer_name","draw","smile","thanks","weather","complement","happy","yrs_experience","effect_sz","Men","Women","Teenagers","Young_Adults","Middle_Aged_Adults","Elderly_Adults","Cash_Customers","Charge_Customers","Smokers","Regulars","First_Timers","Asians","Blacks","Hispanics","Whites","Foreigners","Couples","onetops","kids","Business_People","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Open_to_new_experiences_complex","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Calm_emotionally_stable","Conventional_uncreative","birth_yr","sex","hair","hair_other","married","race","race_other"
"1",2,"69.30.8.166",20060717153959," ",1,"Stanford's Restaurant & Bar","Lake Oswego","OR",187,180," ",1,1,1,97,0,1,1,0,2,16,18,50,2,4,4,4,1,4,4,4,4,2,4,2,3,4,7,25,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,7,1,7,7,7,2,7,6,7,2,1947,0,NA,"black",0,NA,"Pacific Islander - Sotch Irish"
"2",2,"66.248.101.45",20060717160254," ",1,"stanford's","portland","or",156,156," ",1,5,45,65,0,1,1,0,2,20,12,5,3,1,1,4,1,1,1,1,3,1,3,1,1,3,7,17,5,3,1,1,1,2,2,2,3,3,3,2,2,1,1,2,1,3,3,2,99,7,6,7,2,6,1,2,1,7,1,1969,1,2," ",0,4," "
"3",2,"24.149.255.225",20060717174008," ",1,"TGI Friday's","Princeton","New Jersey",240,24," ",3,6,6,85,0,1,0,0,2,14.36,18,20,5,4,4,3,4,2,2,4,2,2,3,4,1,3,6,26,3,3,2,1,1,2,1,3,2,3,3,3,2,1,3,2,1,2,1,1,3,6,1,7,5,NA,NA,6,2,7,1,1953,1,NA,"Salt and Pepper",0,2," "
"4",2,"24.0.217.82",20060717175250," ",1,"El Chico","irving","texas",180,12," ",1,20,30,59,0,1,1,0,3,100,20,50,3,2,4,4,2,2,3,3,3,3,3,4,1,3,7,10,3,3,1,1,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,2,3,7,1,7,2,4,2,6,2,4,1,1973,1,1," ",1,4," "
"5",2,"72.137.250.100",20060717204138," ",1,"Alexandra's Place","Toronto","Ontario",1,12," ",NA,NA,NA,100,0,1,1,0,2,45,15,10,3,2,4,4,1,2,3,3,2,1,3,2,3,3,5,10,3,2,1,1,2,3,1,2,2,2,2,2,1,2,2,2,1,2,3,1,3,6,4,7,1,6,2,6,2,7,3,1970,0,NA,"Bald",0,4," "
"6",2,"4.242.189.228",20060717204506," ",3,"Portland City Grill","Portland","OR",42,6," ",15,10,5,70,0,1,1,0,2,35,22,70,3,1,1,4,1,1,3,2,2,1,3,1,1,2,2,15,5,3,2,2,2,2,2,3,NA,1,3,2,2,2,2,3,1,3,3,2,3,6,2,5,2,6,5,3,5,7,1,1961,0,2," ",0,4," "
"7",2,"162.119.64.114",20060718001530," ",3,"Stanford's Restaurant","Lake Oswego","OR",84,0," ",4,5,1,90,0,0,1,0,2,15,20,95,4,1,4,3,2,4,3,2,3,2,3,2,1,1,5,12,3,3,1,1,2,3,1,2,3,3,3,2,2,2,2,3,1,2,2,2,3,7,3,6,5,7,1,7,1,6,2,1975,1,2," ",0,4," "
"8",2,"70.171.96.32",20060718003926," ",NA,"Antoines","New Orleans","LA",96,240," ",5,5,5,85,0,1,1,0,2,75,21,80,3,2,2,4,1,1,3,2,2,1,3,1,1,4,7,30,5,3,2,1,1,3,1,2,2,3,3,2,2,1,1,3,1,2,3,1,3,6,1,6,1,6,5,5,1,7,6,1954,0,2," ",0,4," "
"9",2,"74.131.98.79",20060718074024," ",1,"Red Lobster","Lexington","KY",60,12," ",5,10,5,80,0,1,1,0,2,15,12,8,3,1,4,3,2,2,2,3,3,1,3,1,1,2,6,20,3,2,2,1,1,2,1,2,3,2,2,3,2,1,1,2,1,3,3,2,2,4,5,6,2,3,4,5,1,5,3,1960,0,2," ",0,4," "
"10",2,"64.12.116.11",20060718074538," ",1,"Lindey's","Columbus","Ohio",10,12," ",2,10,1,87,0,1,1,0,2,25,20,80,3,1,2,4,1,1,1,2,1,1,2,1,2,3,3,19,4,3,2,1,2,3,2,2,3,2,3,2,1,1,2,2,1,2,3,1,3,5,2,7,1,6,3,5,1,6,3,1970,1,1," ",0,4," "
"11",2,"71.193.180.76",20060718111419," ",1,"The Berlin Inn Restaurant","Portland","OR",66,12," ",10,5,10,75,1,1,1,0,2,35,20,80,2,NA,4,4,4,4,4,4,4,2,3,4,4,4,1,24,NA,3,3,2,3,3,1,3,3,99,3,2,3,3,3,3,3,3,2,2,NA,6,2,7,1,7,2,6,1,6,1,1966,0,3," ",1,4," "
"12",2,"201.21.46.27",20060718113224," ",3,"Outback","São Paulo","SP - Brazil",9,12," ",20,20,15,45,0,0,1,1,2,29,10,5,3,2,4,4,2,1,2,4,3,1,3,1,1,2,6,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,6,5,3,4,5,2,5,4,3,3,1981,1,2," ",0,4," "
"13",2,"205.188.116.136",20060718113405," ",1,"McEwen's On Monroe","Memphis","TN",38,36," ",5,10,5,80,0,1,1,0,2,50,18,40,4,1,2,3,1,2,4,1,3,1,2,1,2,2,7,16,4,2,3,1,2,3,1,2,2,3,3,2,2,1,2,2,1,2,2,2,3,7,5,5,5,6,1,3,5,6,2,1971,0,2," ",0,4," "
"14",2,"65.15.33.254",20060718113651," ",0," "," "," ",NA,NA," ",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," "
"15",2,"69.2.66.196",20060718120558," ",1,"Zea's","Kenner","la",14,100," ",3,40,2,55,0,1,1,1,2,21,22,85,1,2,4,4,3,2,4,4,4,1,3,1,1,4,7,32,5,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,1,2,3,3,3,7,2,7,3,7,1,6,1,5,2,1955,1,NA,"new shades of grey are showing up !!!",0,4," "
"16",2,"66.230.99.6",20060718160948," ",1,"Wild King Grill","Soldotna","Alaska",32,24," ",5,2,5,88,0,0,1,0,2,65,22,75,2,3,3,4,2,2,3,2,3,1,3,2,1,3,6,3,4,2,3,1,1,3,1,3,2,99,3,2,99,99,99,99,99,2,3,2,3,5,2,7,2,5,4,4,1,7,3,1975,1,1," ",0,4," "
"17",2,"12.152.3.7",20060718162131," ",2,"Restaurante Banfi","Ithaca","NY",5,2," ",10,10,5,75,0,0,1,1,4,50,25,80,4,1,4,4,1,1,2,2,2,1,3,2,1,2,4,2,4,2,2,1,2,3,2,1,3,2,3,2,2,2,2,2,2,2,2,2,3,6,2,6,2,6,5,6,2,6,2,1986,1,2," ",0,4," "
"18",2,"162.130.197.11",20060718162608," ",3,"Nunzio's Ristorante Rustico","Collingswood","NJ",3,0," ",1,1,3,95,0,1,1,0,2,26,18,25,4,1,4,3,1,1,2,2,1,1,3,1,2,3,5,3,4,99,99,1,2,3,1,2,3,99,3,99,99,99,99,99,1,3,2,3,3,6,2,3,5,6,5,6,5,5,2,1985,1,2," ",0,4," "
"19",2,"63.130.215.4",20060718163557," ",2,"Joes Restaurant","Ithaca","NY",5,NA," ",4,5,1,90,0,0,1,0,3,20,18,NA,4,1,4,3,1,1,1,2,2,1,2,1,1,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,6,5,6,NA,5,1,5,1,5,3,1985,1,1," ",0,4," "
"20",2,"204.57.103.2",20060718163820," ",1,"Banfi's","Ithaca","NY",32,9," ",20,5,5,70,0,0,1,0,3,35,18,10,3,2,4,3,2,1,2,3,2,1,2,1,2,3,6,5,3,3,2,1,3,2,2,1,2,2,3,2,1,1,1,2,1,2,3,1,3,3,5,7,3,3,6,5,1,6,6,1985,0,2," ",0,4," "
"21",2,"66.209.89.177",20060718165629," ",2,"Banfis","Ithaca","NY",6,0," ",20,5,5,70,0,0,1,0,4,40,10,40,4,1,4,3,1,2,4,2,2,1,1,1,1,3,3,1,4,1,3,3,3,1,1,1,3,2,3,3,3,2,1,2,1,3,2,1,3,7,3,6,1,6,2,4,1,6,3,1985,1,2," ",0,4," "
"22",2,"74.71.45.243",20060718165904," ",1,"Banfi's","Ithaca","New York",6,9," ",13,1,1,85,0,0,1,0,3,40,18,30,3,1,4,4,1,2,2,3,3,1,4,1,2,3,6,6,3,3,3,2,2,2,1,3,2,99,3,2,1,2,99,2,1,2,3,2,3,7,5,7,3,6,1,5,1,5,2,1985,1,2," ",0,4," "
"23",2,"69.247.245.148",20060718165907," ",1,"Shula's Steakhouse","Naples","Florida",12,1," ",2,3,3,92,0,1,1,0,3,80,18,15,3,1,4,NA,2,2,2,4,3,1,3,1,2,3,7,5,4,2,1,2,3,2,1,1,3,99,2,3,99,99,99,99,1,2,1,2,3,6,1,7,1,6,5,6,1,7,1,1986,1,2," ",0,4," "
"24",2,"68.166.191.101",20060718165925," ",2," ","Ithaca","New York",3,12," ",15,5,5,75,0,0,1,0,3,30,17,20,3,1,3,3,1,1,4,3,4,2,4,4,1,2,5,2,4,3,3,1,2,3,1,2,3,99,2,2,2,2,2,3,1,3,3,2,3,7,1,7,1,6,1,7,2,6,2,1984,1,1," ",0,4," "
"25",2,"24.185.204.212",20060718170442," ",0," "," "," ",NA,NA," ",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," "
"26",2,"74.71.36.147",20060718172824," ",3,"Benn Conger Inn","Groton","New York",48,24," ",3,10,1,86,1,0,1,1,4,50,21,99,1,4,4,4,2,2,3,3,4,1,4,4,3,4,7,5,5,2,3,1,1,2,2,2,3,3,1,3,1,2,1,2,1,2,2,1,1,7,2,7,2,7,1,7,1,6,1,1984,0,3," ",0,4," "
"27",2,"69.169.93.40",20060718174053," ",0," "," "," ",NA,NA," ",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," "
"28",2,"64.4.235.35",20060718174323," ",1,"Gold Rush Dining Room","Denali","Alaska",1,0," ",3,1,1,95,1,0,0,0,3,15,10,20,4,1,2,1,1,1,2,3,1,1,2,3,1,1,3,1,3,2,2,99,3,2,1,3,2,99,3,2,99,99,99,99,1,2,99,2,3,7,4,5,5,4,2,7,3,4,1,1987,1,2," ",0,3," "
"29",2,"72.144.91.233",20060718174659," ",3,"Jerry's Great Mid-American Family Restau","Coshocton","Ohio",8,0," ",0,1,0,99,0,0,1,0,4,8,12,30,2,1,1,2,1,1,1,1,1,1,2,1,1,2,3,1,3,2,2,1,2,2,2,2,2,2,2,99,99,99,99,2,99,2,2,1,2,6,5,6,2,6,5,5,2,6,2,1984,1,NA,"black",0,1," "
"30",2,"24.60.188.151",20060718175314," ",2,"DeSha's American Tavern","Cincinnati","Ohio",3,0," ",1,4,4,91,0,1,1,0,3,15,18,20,4,2,4,3,1,1,2,3,1,1,4,2,2,2,4,2,5,3,2,1,2,2,2,2,2,3,3,1,2,1,1,2,1,3,3,2,3,4,1,6,5,6,6,6,3,6,4,1985,1,NA,"black",0,1," "
"31",2,"63.240.11.195",20060718175327," ",2,"Bahama Breeze","Orange Village","OH",3,0," ",5,20,5,70,0,0,1,0,1,15,18,75,1,1,4,4,1,1,2,2,3,1,3,1,1,4,5,2,4,2,2,1,2,3,1,2,3,3,3,2,2,1,2,2,1,3,2,2,3,7,7,7,3,6,1,6,1,7,1,1985,0,NA,"black",0,4," "
"32",2,"68.173.8.120",20060718182443," ",2,"Stella's","Ithaca","New York",18,0," ",15,10,5,70,0,0,1,1,2,20,23,75,2,3,2,4,4,2,2,3,3,1,3,1,1,3,6,3,4,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,1,3,3,2,2,7,4,7,5,6,1,6,1,3,1,1985,1,NA,"blonde-brown",0,4," "
"33",2,"151.198.166.170",20060718183006," ",2,"Parkhills Waterfront Grill","Loch Arbour","NJ",15,0," ",1,2,2,97,0,1,1,0,3,15,18,30,4,2,2,2,1,1,1,2,1,2,3,3,2,2,5,3,4,3,2,1,3,3,2,99,99,99,2,99,99,99,99,99,99,2,2,2,3,6,1,6,3,5,3,6,4,4,5,1987,1,2," ",0,4," "
"34",2,"69.173.55.11",20060718183614," ",2,"Surfside Grill","Hilton Head Island","South Carolina",3,0," ",5,25,25,45,0,1,1,0,3,15,15,70,2,4,4,4,2,1,3,3,2,1,3,1,2,2,6,4,5,3,3,1,1,3,1,3,2,99,3,2,2,2,2,2,1,3,1,3,2,7,2,3,2,6,1,5,1,5,2,1984,1,2," ",0,4," "
"35",2,"24.199.17.186",20060718183700," ",1,"The Lazy Dog Cafe","Huntington Beach","CA",2,1," ",15,15,15,65,0,0,1,0,2,15,17,40,4,1,4,3,3,1,2,2,1,1,3,2,3,3,6,4,3,3,2,1,1,3,1,2,3,3,3,2,1,1,1,2,1,3,2,2,3,6,5,5,2,5,2,5,2,6,1,1986,0,2," ",0,4," "
"36",2,"207.47.12.2",20060718185354," ",3,"Max's Bar and Grill","Ithaca","New York",12,0," ",1,1,0,98,0,1,1,0,4,12,30,75,3,2,3,2,1,1,2,3,2,1,4,1,2,2,4,1,4,3,2,2,3,3,2,2,2,2,3,3,99,99,99,2,2,2,2,2,2,6,1,7,5,6,5,6,3,6,1,1986,1,1," ",0,4," "
"37",2,"72.75.86.166",20060718185701," ",1,"Luna Bar and Grill","Washington","DC",2,1," ",5,15,5,75,0,1,1,0,3,10,20,80,4,1,1,4,3,1,3,3,2,1,4,1,2,3,6,2,4,3,2,1,2,3,1,3,2,99,3,3,1,1,1,3,1,2,3,1,2,7,2,7,2,7,1,7,1,4,1,1983,1,2," ",0,4," "
"38",2,"208.25.198.231",20060718185744," ",1,"Ristorante Banfi","Ithaca","NY",10,10," ",10,5,5,80,0,0,1,0,3,40,18,20,3,1,4,3,1,2,3,3,2,1,3,2,3,3,1,2,3,2,2,1,1,2,3,2,3,2,2,2,1,1,1,2,1,3,1,2,2,7,3,6,2,5,1,6,1,5,2,1985,0,2," ",0,1," "
"39",2,"66.234.250.130",20060718185848," ",2,"Banfi's","Ithaca","NY",11,8," ",25,10,5,60,0,0,1,0,3,35,15,2,4,1,3,3,1,1,1,2,2,1,3,1,2,2,6,2,4,3,3,1,2,3,3,2,2,99,3,2,1,1,1,2,1,2,2,2,3,6,3,5,2,5,3,6,2,5,3,1986,1,NA,"black",0,1," "
"40",2,"67.122.254.249",20060718193042," ",2,"Bivan's","Avon","Colorado",3,0," ",5,5,5,85,1,1,1,0,3,28,18,75,2,1,1,3,1,1,1,2,2,1,3,1,1,2,5,4,3,2,2,2,2,2,2,2,2,99,3,2,2,2,2,2,1,2,1,3,3,6,2,7,1,6,5,3,1,7,3,1985,0,2," ",0,4," "
"41",2,"65.166.64.206",20060718193815," ",2,"Outback Steakhouse","Islamorada","FL",3,0," ",1,9,20,70,0,1,1,0,2,22,15,10,3,1,4,3,3,2,2,3,2,1,3,2,3,3,6,7,4,3,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,7,1,7,1,7,1,7,1,7,1,1984,0,2," ",0,4," "
"42",2,"201.216.12.134",20060718194546," ",3,"Restaurant Sevres (Hotel Hessischer Hof)","Frankfurt","Germany",6,0," ",1,1,1,97,0,1,1,1,1,50,5,3,5,2,2,3,1,1,2,3,1,1,3,1,1,2,3,2,1,2,3,1,2,3,3,3,2,99,1,1,99,99,99,99,3,3,2,1,2,5,5,7,3,7,5,6,1,5,3,1981,1,2," ",0,4," "
"43",2,"66.175.65.160",20060718201456," ",2,"Bar and Billiard Room","Singapore","Singapore",2,0," ",90,0,0,10,1,1,1,1,2,100,10,20,2,1,4,4,2,1,4,3,3,1,4,1,3,4,1,2,4,3,3,1,3,2,1,3,3,2,2,3,2,99,99,2,3,2,1,1,3,7,3,7,2,4,2,7,1,6,1,1984,1,3," ",0,4," "
"44",2,"12.30.102.190",20060718203506," ",2,"Il Fornaio","Corte Madera","California",5,0," ",5,10,20,65,1,1,0,0,2,12,16,10,4,1,3,2,2,2,2,4,2,1,3,1,1,4,7,2,3,2,2,2,2,2,2,2,2,99,2,2,2,2,2,2,2,3,2,2,3,7,6,7,2,7,1,7,2,3,1,1986,0,1," ",0,4," "
"45",2,"69.178.0.123",20060718204525," ",2,"Sunset Grill","Honolulu","Hi",3,0," ",20,10,5,65,0,1,1,0,2,20,15,10,3,1,4,3,2,2,3,2,2,1,2,2,1,3,6,2,3,2,3,1,2,3,3,2,2,99,3,2,2,2,2,2,1,3,2,2,3,7,5,7,2,7,1,6,2,7,2,1982,0,2," ",0,NA,"Native American"
"46",2,"24.218.40.214",20060718214357," ",1,"Bertuccis","Newton","MA",16,2," ",15,5,10,70,0,1,1,0,3,25,20,90,3,2,4,3,3,1,3,3,3,2,3,3,2,3,6,5,4,2,3,1,2,3,1,2,2,99,3,2,1,2,2,2,1,2,3,3,2,7,2,6,2,5,1,6,1,6,2,1987,0,2," ",0,4," "
"47",2,"24.51.30.166",20060718214603," ",1,"Transit Valley Country Club","East Amherst","NY",2,0," ",3,2,0,95,1,1,0,1,3,10,18,5,4,1,2,2,1,2,2,2,3,1,3,1,2,2,5,0.25,3,3,3,99,3,3,3,99,99,99,99,99,99,99,99,99,99,2,2,2,3,7,6,7,4,6,3,6,3,6,4,1986,1,2," ",0,NA,"mixed"
"48",2,"207.6.149.126",20060718220302," ",1,"Sam's Waterfront Cafe","White Rock","British Columbia, CANADA",2,1," ",25,2.5,2.5,70,0,1,1,0,3,75,10,2,4,2,2,4,1,1,2,2,1,3,4,4,2,3,3,0.25,3,3,2,2,2,2,1,3,2,2,3,2,1,2,2,3,1,3,1,2,2,7,2,7,5,6,2,5,1,4,4,1987,1,1," ",0,4," "
"49",2,"69.180.194.158",20060718231502," ",2,"P.F. Chang's China Bistro","Nashville","Tennessee",5,0," ",15,5,30,50,0,1,1,1,3,15,18,10,4,1,4,3,2,1,3,3,1,1,4,2,2,3,5,2,4,3,2,1,2,3,1,1,2,99,3,99,99,1,1,99,99,3,99,1,3,5,1,6,2,4,4,6,2,6,2,1986,1,2," ",0,4," "
"50",2,"204.95.52.151",20060718232923," ",1,"Banfi's Restaurant","Ithaca","NY",24,24," ",20,4,1,75,0,0,1,0,4,35,18,50,4,1,4,3,1,1,1,4,2,1,3,1,1,2,4,4,3,3,2,2,1,3,2,2,3,99,3,2,1,2,2,2,1,3,3,2,3,6,1,6,3,5,6,7,3,7,4,1986,1,2," ",0,4," "
"51",2,"74.67.221.87",20060718234904," ",1,"Uncle Louie's Backyard","Cortland","New York",9,9," ",NA,1,3,96,0,1,1,0,3,18,17,40,4,1,4,4,2,3,3,4,3,4,3,2,1,4,6,10,4,3,2,1,1,3,1,2,3,99,1,2,2,2,2,2,1,3,2,1,3,7,6,7,6,7,1,7,1,6,1,1978,1,2," ",1,4," "
"52",2,"68.110.190.208",20060719002922," ",1,"Brio","Westlake","Ohio",3,1," ",1,2,1,95,0,1,1,0,1,24,20,90,3,1,4,4,1,1,2,1,1,1,3,1,1,2,6,1,3,3,2,2,2,3,1,2,2,99,2,2,99,1,99,2,1,3,2,2,2,7,3,6,1,5,1,5,1,7,4,1986,0,2," ",0,4," "
"53",2,"63.249.112.206",20060719022336," ",1,"Cafe Sparrow","Aptos","CA",24,2," ",10,5,15,70,0,1,1,0,3,25,18,20,2,1,1,2,3,2,3,3,2,1,3,3,1,2,7,3,4,2,3,99,3,3,1,2,2,1,2,3,99,99,2,2,1,2,3,2,2,7,1,7,1,7,2,6,1,6,1,1981,1,2," ",0,4," "
"54",2,"212.138.64.179",20060719030545," ",3,"Pizza Hut","Riyadh","Saudi Arabia",36,NA," ",20,NA,NA,NA,0,0,1,0,2,4,15,NA,3,4,4,3,1,1,3,4,3,3,4,4,2,3,2,5,4,2,1,1,2,3,NA,2,3,2,3,2,2,2,2,2,3,2,1,2,3,7,2,5,2,6,2,7,2,6,2,1975,0,NA,"black",1,NA,"plilipino"
"55",2,"61.5.142.30",20060719032446," ",1,"The Dynasty","Faisalabad","Pakistan",25,52," ",95,NA,NA,5,1,1,1,1,2,9,4,0,4,2,4,3,2,2,3,4,2,1,4,2,1,2,6,2,4,NA,2,1,1,3,1,3,2,3,1,3,3,NA,NA,3,3,2,1,1,2,6,1,7,1,7,2,7,1,7,1,1956,0,2," ",1,1," "
"56",2,"151.30.255.137",20060719052819," ",2,"Cafe Lido","Hamilton","Bermuda",38,36," ",2,20,3,75,0,0,1,1,3,100,15,1,3,1,4,4,1,1,3,2,3,1,4,1,3,3,1,38,3,2,1,1,1,2,1,1,1,2,1,2,1,3,2,2,2,3,1,1,2,7,2,7,2,7,7,7,1,7,1,1972,0,2," ",0,4," "
"57",2,"151.30.255.137",20060719053244," ",NA," "," "," ",NA,NA," ",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," "
"58",2,"202.156.6.75",20060719070904," ",3,"Capers","Singapore","Singapore",12,0," ",100,NA,NA,NA,1,1,1,0,3,28,1,0,4,1,2,3,1,2,2,4,3,1,4,4,1,3,5,3,5,1,1,1,1,2,2,3,1,1,1,1,1,2,2,2,2,2,1,1,1,4,4,6,3,6,4,4,4,6,6,1974,0,2," ",1,1," "
"59",2,"72.43.241.238",20060719085642," ",3,"Banfi's/Regent Lounge","Ithaca","NY",26,0," ",15,5,2,78,1,0,1,1,3,25,20,25,3,1,3,3,2,2,2,3,3,1,3,1,3,3,5,3,4,3,2,3,3,2,1,3,2,2,3,2,1,2,2,2,1,3,3,2,2,6,4,7,3,6,3,6,1,6,2,1984,0,2," ",0,4," "
"60",2,"74.71.44.105",20060719104329," ",2,"Banfis Restaurant","Ithaca","NY",35,0," ",20,10,2,50,0,0,1,0,3,40,18,30,2,1,4,3,1,1,3,3,2,1,3,1,3,3,5,5,3,3,2,1,1,2,1,2,3,99,1,2,1,1,1,2,1,2,3,1,3,7,2,7,1,7,1,5,1,7,1,85,1,2," ",0,4," "
