Restaurant,City,State,currentmonths,extramonths,asianproportion,blackproportion,hispanicproportion,whiteproportion,breakfast,lunch,dinner,latenight,busy,averagetotalbill,pcttip,bigtips,comparative_tips,flair,intro,selling,squatt,touch,jokes,repeat,customer_me,draw,smile,thanks,weather,compliment,happy,yearsexperience,effect_sz,Men,Women,Teenagers,Young_Adults,Middle_Aged_Adults,Elderly_Adults,Cash_Customers,Charge_Customers,Smokers,Regulars,First_Timers,Asians,Blacks,Hispanics,Whites,Foreigners,Couples,onetops,kids,Business_People,Extraverted_enthusiastic,Critical_quarrelsome,Dependable_selfdisciplined,Anxious_easily_upset,Open_to_new_experiences_complex,Reserved_quiet,Sympathetic_warm,Disorganized_careless,Calm_emotiolly_stable,Conventiol_uncreative,birth_yr,sex,hair,hair_other,married,race,race_other
Stanford's Restaurant & Bar,Lake Oswego,OR,187,180,1,1,1,97,No,Yes,Yes,0,2,16,18,50,2,4,4,4,1,4,4,4,4,2,4,2,3,4,7,25,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,7,1,7,7,7,2,7,6,7,2,1947,Female,,black,0,,Pacific Islander - Sotch Irish
stanford's,Portland,OR,156,156,1,5,45,65,No,Yes,Yes,0,2,20,12,5,3,1,1,4,1,1,1,1,3,1,3,1,1,3,7,17,5,3,1,1,1,2,2,2,3,3,3,2,2,1,1,2,1,3,3,2,99,7,6,7,2,6,1,2,1,7,1,1969,Male,2,NA,0,4,NA
TGI Friday's,Princeton,NJ,240,24,3,6,6,85,No,Yes,No,0,2,14.36,18,20,5,4,4,3,4,2,2,4,2,2,3,4,1,3,6,26,3,3,2,1,1,2,1,3,2,3,3,3,2,1,3,2,1,2,1,1,3,6,1,7,5,,,6,2,7,1,1953,Male,,Salt and Pepper,0,2,NA
El Chico,Irving,TX,180,12,1,20,30,59,No,Yes,Yes,0,3,100,20,50,3,2,4,4,2,2,3,3,3,3,3,4,1,3,7,10,3,3,1,1,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,2,3,7,1,7,2,4,2,6,2,4,1,1973,Male,1,NA,1,4,NA
Alexandra's Place,Toronto,!US,1,12,,,,100,No,Yes,Yes,0,2,45,15,10,3,2,4,4,1,2,3,3,2,1,3,2,3,3,5,10,3,2,1,1,2,3,1,2,2,2,2,2,1,2,2,2,1,2,3,1,3,6,4,7,1,6,2,6,2,7,3,1970,Female,,Bald,0,4,NA
Portland City Grill,Portland,OR,42,6,15,10,5,70,No,Yes,Yes,0,2,35,22,70,3,1,1,4,1,1,3,2,2,1,3,1,1,2,2,15,5,3,2,2,2,2,2,3,,1,3,2,2,2,2,3,1,3,3,2,3,6,2,5,2,6,5,3,5,7,1,1961,Female,2,NA,0,4,NA
Stanford's Restaurant,Lake Oswego,OR,84,0,4,5,1,90,No,No,Yes,0,2,15,20,95,4,1,4,3,2,4,3,2,3,2,3,2,1,1,5,12,3,3,1,1,2,3,1,2,3,3,3,2,2,2,2,3,1,2,2,2,3,7,3,6,5,7,1,7,1,6,2,1975,Male,2,NA,0,4,NA
Antoines,New Orleans,LA,96,240,5,5,5,85,No,Yes,Yes,0,2,75,21,80,3,2,2,4,1,1,3,2,2,1,3,1,1,4,7,30,5,3,2,1,1,3,1,2,2,3,3,2,2,1,1,3,1,2,3,1,3,6,1,6,1,6,5,5,1,7,6,1954,Female,2,NA,0,4,NA
Red Lobster,Lexington,KY,60,12,5,10,5,80,No,Yes,Yes,0,2,15,12,8,3,1,4,3,2,2,2,3,3,1,3,1,1,2,6,20,3,2,2,1,1,2,1,2,3,2,2,3,2,1,1,2,1,3,3,2,2,4,5,6,2,3,4,5,1,5,3,1960,Female,2,NA,0,4,NA
Lindey's,Columbus,OH,10,12,2,10,1,87,No,Yes,Yes,0,2,25,20,80,3,1,2,4,1,1,1,2,1,1,2,1,2,3,3,19,4,3,2,1,2,3,2,2,3,2,3,2,1,1,2,2,1,2,3,1,3,5,2,7,1,6,3,5,1,6,3,1970,Male,1,NA,0,4,NA
The Berlin Inn Restaurant,Portland,OR,66,12,10,5,10,75,Yes,Yes,Yes,0,2,35,20,80,2,,4,4,4,4,4,4,4,2,3,4,4,4,1,24,,3,3,2,3,3,1,3,3,99,3,2,3,3,3,3,3,3,2,2,,6,2,7,1,7,2,6,1,6,1,1966,Female,3,NA,1,4,NA
Outback,São Paulo,!US,9,12,20,20,15,45,No,No,Yes,1,2,29,10,5,3,2,4,4,2,1,2,4,3,1,3,1,1,2,6,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,6,5,3,4,5,2,5,4,3,3,1981,Male,2,NA,0,4,NA
McEwen's On Monroe,Memphis,TN,38,36,5,10,5,80,No,Yes,Yes,0,2,50,18,40,4,1,2,3,1,2,4,1,3,1,2,1,2,2,7,16,4,2,3,1,2,3,1,2,2,3,3,2,2,1,2,2,1,2,2,2,3,7,5,5,5,6,1,3,5,6,2,1971,Female,2,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Zea's,Kenner,IA,14,100,3,40,2,55,No,Yes,Yes,1,2,21,22,85,1,2,4,4,3,2,4,4,4,1,3,1,1,4,7,32,5,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,1,2,3,3,3,7,2,7,3,7,1,6,1,5,2,1955,Male,,new shades of grey are showing up !!!,0,4,NA
Wild King Grill,Soldot,AK,32,24,5,2,5,88,No,No,Yes,0,2,65,22,75,2,3,3,4,2,2,3,2,3,1,3,2,1,3,6,3,4,2,3,1,1,3,1,3,2,99,3,2,99,99,99,99,99,2,3,2,3,5,2,7,2,5,4,4,1,7,3,1975,Male,1,NA,0,4,NA
Restaurante Banfi,Ithaca,NY,5,2,10,10,5,75,No,No,Yes,1,4,50,25,80,4,1,4,4,1,1,2,2,2,1,3,2,1,2,4,2,4,2,2,1,2,3,2,1,3,2,3,2,2,2,2,2,2,2,2,2,3,6,2,6,2,6,5,6,2,6,2,1986,Male,2,NA,0,4,NA
Nunzio's Ristorante Rustico,Collingswood,NJ,3,0,1,1,3,95,No,Yes,Yes,0,2,26,18,25,4,1,4,3,1,1,2,2,1,1,3,1,2,3,5,3,4,99,99,1,2,3,1,2,3,99,3,99,99,99,99,99,1,3,2,3,3,6,2,3,5,6,5,6,5,5,2,1985,Male,2,NA,0,4,NA
Joes Restaurant,Ithaca,NY,5,,4,5,1,90,No,No,Yes,0,3,20,18,,4,1,4,3,1,1,1,2,2,1,2,1,1,3,5,3,2,,,,,,,,,,,,,,,,1,,1,,3,6,5,6,,5,1,5,1,5,3,1985,Male,1,NA,0,4,NA
Banfi's,Ithaca,NY,32,9,20,5,5,70,No,No,Yes,0,3,35,18,10,3,2,4,3,2,1,2,3,2,1,2,1,2,3,6,5,3,3,2,1,3,2,2,1,2,2,3,2,1,1,1,2,1,2,3,1,3,3,5,7,3,3,6,5,1,6,6,1985,Female,2,NA,0,4,NA
Banfis,Ithaca,NY,6,0,20,5,5,70,No,No,Yes,0,4,40,10,40,4,1,4,3,1,2,4,2,2,1,1,1,1,3,3,1,4,1,3,3,3,1,1,1,3,2,3,3,3,2,1,2,1,3,2,1,3,7,3,6,1,6,2,4,1,6,3,1985,Male,2,NA,0,4,NA
Banfi's,Ithaca,NY,6,9,13,1,1,85,No,No,Yes,0,3,40,18,30,3,1,4,4,1,2,2,3,3,1,4,1,2,3,6,6,3,3,3,2,2,2,1,3,2,99,3,2,1,2,99,2,1,2,3,2,3,7,5,7,3,6,1,5,1,5,2,1985,Male,2,NA,0,4,NA
Shula's Steakhouse,ples,FL,12,1,2,3,3,92,No,Yes,Yes,0,3,80,18,15,3,1,4,,2,2,2,4,3,1,3,1,2,3,7,5,4,2,1,2,3,2,1,1,3,99,2,3,99,99,99,99,1,2,1,2,3,6,1,7,1,6,5,6,1,7,1,1986,Male,2,NA,0,4,NA
Shula's Steakhouse,Ithaca,NY,3,12,15,5,5,75,No,No,Yes,0,3,30,17,20,3,1,3,3,1,1,4,3,4,2,4,4,1,2,5,2,4,3,3,1,2,3,1,2,3,99,2,2,2,2,2,3,1,3,3,2,3,7,1,7,1,6,1,7,2,6,2,1984,Male,1,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Benn Conger Inn,Groton,NY,48,24,3,10,1,86,Yes,No,Yes,1,4,50,21,99,1,4,4,4,2,2,3,3,4,1,4,4,3,4,7,5,5,2,3,1,1,2,2,2,3,3,1,3,1,2,1,2,1,2,2,1,1,7,2,7,2,7,1,7,1,6,1,1984,Female,3,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Gold Rush Dining Room,Deli,AK,1,0,3,1,1,95,Yes,No,No,0,3,15,10,20,4,1,2,1,1,1,2,3,1,1,2,3,1,1,3,1,3,2,2,99,3,2,1,3,2,99,3,2,99,99,99,99,1,2,99,2,3,7,4,5,5,4,2,7,3,4,1,1987,Male,2,NA,0,3,NA
Jerry's Great Mid-American Family Restau,Coshocton,OH,8,0,0,1,0,99,No,No,Yes,0,4,8,12,30,2,1,1,2,1,1,1,1,1,1,2,1,1,2,3,1,3,2,2,1,2,2,2,2,2,2,2,99,99,99,99,2,99,2,2,1,2,6,5,6,2,6,5,5,2,6,2,1984,Male,,black,0,1,NA
DeSha's American Tavern,Cincinti,OH,3,0,1,4,4,91,No,Yes,Yes,0,3,15,18,20,4,2,4,3,1,1,2,3,1,1,4,2,2,2,4,2,5,3,2,1,2,2,2,2,2,3,3,1,2,1,1,2,1,3,3,2,3,4,1,6,5,6,6,6,3,6,4,1985,Male,,black,0,1,NA
Bahama Breeze,Orange Village,OH,3,0,5,20,5,70,No,No,Yes,0,1,15,18,75,1,1,4,4,1,1,2,2,3,1,3,1,1,4,5,2,4,2,2,1,2,3,1,2,3,3,3,2,2,1,2,2,1,3,2,2,3,7,7,7,3,6,1,6,1,7,1,1985,Female,,black,0,4,NA
Stella's,Ithaca,NY,18,0,15,10,5,70,No,No,Yes,1,2,20,23,75,2,3,2,4,4,2,2,3,3,1,3,1,1,3,6,3,4,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,1,3,3,2,2,7,4,7,5,6,1,6,1,3,1,1985,Male,,blonde-brown,0,4,NA
Parkhills Waterfront Grill,Loch Arbour,NJ,15,0,1,2,2,97,No,Yes,Yes,0,3,15,18,30,4,2,2,2,1,1,1,2,1,2,3,3,2,2,5,3,4,3,2,1,3,3,2,99,99,99,2,99,99,99,99,99,99,2,2,2,3,6,1,6,3,5,3,6,4,4,5,1987,Male,2,NA,0,4,NA
Surfside Grill,Hilton Head Island,SC,3,0,5,25,25,45,No,Yes,Yes,0,3,15,15,70,2,4,4,4,2,1,3,3,2,1,3,1,2,2,6,4,5,3,3,1,1,3,1,3,2,99,3,2,2,2,2,2,1,3,1,3,2,7,2,3,2,6,1,5,1,5,2,1984,Male,2,NA,0,4,NA
The Lazy Dog Cafe,Huntington Beach,CA,2,1,15,15,15,65,No,No,Yes,0,2,15,17,40,4,1,4,3,3,1,2,2,1,1,3,2,3,3,6,4,3,3,2,1,1,3,1,2,3,3,3,2,1,1,1,2,1,3,2,2,3,6,5,5,2,5,2,5,2,6,1,1986,Female,2,NA,0,4,NA
Max's Bar and Grill,Ithaca,NY,12,0,1,1,0,98,No,Yes,Yes,0,4,12,30,75,3,2,3,2,1,1,2,3,2,1,4,1,2,2,4,1,4,3,2,2,3,3,2,2,2,2,3,3,99,99,99,2,2,2,2,2,2,6,1,7,5,6,5,6,3,6,1,1986,Male,1,NA,0,4,NA
